id,x0,x1,x2,fitness8,fitness6.5,fitness5,fitness6,fitness4,fitness5.5,fitness8.5,fitness9,fitness9.5,fitness10,fitness7.5,fitness7,fitness4.5,fitness3.5,fitness2.5,fitness2,fitness0.5,fitness1,fitness1.5
24291,8.10727,8.65892,7.13965,NA,NA,NA,NA,NA,NA,NA,0.447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24405,8.80233,6.99079,7.93575,0.689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24699,9.16573,6.61418,6.70759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.187,NA,NA,NA,NA,NA,NA,NA
24810,9.36431,6.48541,7.37849,0.342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25012,9.47095,7.00624,7.21285,NA,NA,NA,NA,NA,NA,0.395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25375,9.05431,7.17339,8.11747,0.626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25418,8.4682,6.1465,6.80221,NA,-0.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25640,7.01635,5.92246,7.05952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.326,NA,NA,NA,NA,NA,NA,NA,NA
25930,7.48091,8.22813,7.06047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.772,NA,NA,NA,NA,NA,NA,NA
26066,7.86316,8.4259,8.5019,NA,NA,NA,NA,NA,NA,0.681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26355,8.11869,8.24845,8.13113,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26564,6.86047,8.20647,9.72821,NA,NA,NA,NA,NA,NA,0.237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26625,7.61478,8.01471,8.31589,0.901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26879,8.32653,7.16442,8.9674,0.612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27032,6.30716,7.34261,9.32661,NA,NA,NA,NA,NA,NA,NA,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27269,6.75804,7.60519,9.49676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.437,NA,NA,NA,NA,NA,NA,NA,NA
27538,7.0439,7.89858,8.58538,NA,0.559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27708,7.62229,7.5708,8.27047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.933,NA,NA,NA,NA,NA,NA,NA,NA
27801,7.34553,8.7762,8.18008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.596,NA,NA,NA,NA,NA,NA,NA
28198,8.68225,7.44489,7.58981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.823,NA,NA,NA,NA,NA,NA,NA,NA
28331,9.61419,8.16071,9.21509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.078,NA,NA,NA,NA,NA,NA,NA
