id,x0,x1,x2,fitness4.5,fitness5,fitness4,fitness3.5,fitness3,fitness2.5
48755,3.37721,5,-1.35836,NA,3381.964,NA,NA,NA,NA
48832,4.5705,5,-0.933887,1831.843,NA,NA,NA,NA,NA
49077,5,5,-0.859071,NA,12524.523,NA,NA,NA,NA
49274,5,5,-0.55401,NA,5236.331,NA,NA,NA,NA
49472,5,4.34327,-1.30979,NA,5643.141,NA,NA,NA,NA
49734,5,4.39671,-1.38757,NA,5264.023,NA,NA,NA,NA
49802,5,4.32834,-0.185232,NA,4639.059,NA,NA,NA,NA
50095,5,5,-0.171935,4539.639,NA,NA,NA,NA,NA
50247,5,5,-0.807936,NA,13049.038,NA,NA,NA,NA
50438,3.83043,5,-1.50194,1061.646,NA,NA,NA,NA,NA
50612,5,5,-0.876762,NA,12157.71,NA,NA,NA,NA
50800,5,5,-0.938591,NA,10178.795,NA,NA,NA,NA
51014,4.74783,5,-1.35459,NA,NA,3767.478,NA,NA,NA
51327,4.35507,4.94577,-0.76207,NA,NA,3476.305,NA,NA,NA
51524,4.7314,4.77405,-1.01218,NA,8797.534,NA,NA,NA,NA
51614,5,4.60663,-1.0569,NA,2623.38,NA,NA,NA,NA
51938,4.68425,5,-0.758719,NA,11389.716,NA,NA,NA,NA
52008,5,5,-0.701964,NA,11617.609,NA,NA,NA,NA
52256,4.38043,5,-0.206446,NA,3878.597,NA,NA,NA,NA
52404,4.1626,5,-0.859417,3032.452,NA,NA,NA,NA,NA
52584,5,4.27168,-1.2075,NA,3579.265,NA,NA,NA,NA
52810,4.7983,4.21866,-0.0683102,NA,4579.682,NA,NA,NA,NA
53005,5,5,-0.81818,13691.401,NA,NA,NA,NA,NA
53356,4.97413,4.37147,-0.777633,2878.237,NA,NA,NA,NA,NA
53531,5,3.7521,-0.793576,NA,4804.858,NA,NA,NA,NA
53723,4.96863,3.70589,-1.89167,NA,NA,NA,272.947,NA,NA
53937,5,3.59571,-1.92682,644.212,NA,NA,NA,NA,NA
54054,5,4.62017,-1.80378,NA,753.922,NA,NA,NA,NA
54276,4.34552,5,-2.58198,1746.473,NA,NA,NA,NA,NA
54498,5,4.93738,-1.58727,5755.17,NA,NA,NA,NA,NA
54741,5,5,-0.560577,NA,NA,125.738,NA,NA,NA
54842,5,5,-0.725389,NA,15213.435,NA,NA,NA,NA
55153,5,4.26258,-0.214985,NA,4853.965,NA,NA,NA,NA
55343,5,4.90191,-0.893388,NA,NA,NA,2292.336,NA,NA
55469,5,5,-0.851506,NA,12652.704,NA,NA,NA,NA
55600,3.39235,4.31733,-2.93412,NA,528.411,NA,NA,NA,NA
55969,5,5,-3.86691,NA,1960.557,NA,NA,NA,NA
56029,5,3.63893,-2.55939,428.495,NA,NA,NA,NA,NA
56327,5,3.43377,-1.55861,NA,2005.133,NA,NA,NA,NA
56574,5,3.49111,-2.95047,NA,NA,28.512,NA,NA,NA
56658,3.91228,4.74553,-2.6942,NA,NA,149.473,NA,NA,NA
56966,4.66893,4.16563,-1.31244,NA,4061.933,NA,NA,NA,NA
57051,5,3.93017,-1.91581,NA,821.845,NA,NA,NA,NA
57339,5,4.11258,-0.309277,NA,2287.312,NA,NA,NA,NA
57523,4.72243,4.70676,-0.124635,NA,NA,4149.3,NA,NA,NA
57706,4.65173,4.97992,-0.814288,NA,13630.4,NA,NA,NA,NA
57846,3.79225,5,-0.568206,NA,NA,NA,758.467,NA,NA
58082,3.79626,5,-1.61669,NA,NA,NA,951.162,NA,NA
58328,3.15669,5,0.423716,502.882,NA,NA,NA,NA,NA
58506,3.68829,5,0.315134,NA,1081.016,NA,NA,NA,NA
58775,4.23302,4.41748,-0.709374,2800.463,NA,NA,NA,NA,NA
58885,4.20503,4.74199,-0.326722,NA,4410.742,NA,NA,NA,NA
59174,5,4.81874,-0.939115,NA,13283.72,NA,NA,NA,NA
59252,5,5,-0.567885,NA,5965.574,NA,NA,NA,NA
59530,5,5,-0.6255,NA,11360.403,NA,NA,NA,NA
59674,5,4.99391,0.233706,NA,2696.126,NA,NA,NA,NA
59875,5,4.64105,0.330698,NA,2353.11,NA,NA,NA,NA
60122,5,5,-0.685344,NA,11110.953,NA,NA,NA,NA
60284,5,5,-0.901324,NA,11496.955,NA,NA,NA,NA
60488,5,5,-0.640723,4945.646,NA,NA,NA,NA,NA
60737,4.47471,4.66902,-1.43336,NA,1638.535,NA,NA,NA,NA
60954,5,5,-1.89968,NA,4336.193,NA,NA,NA,NA
61140,5,4.54975,-1.94669,NA,1011.63,NA,NA,NA,NA
61203,5,5,-0.552636,NA,6702.928,NA,NA,NA,NA
61443,4.70182,5,-1.83914,NA,2531.809,NA,NA,NA,NA
61695,3.70625,5,-0.745426,NA,5011.241,NA,NA,NA,NA
61967,4.32712,5,-1.43996,NA,7019.394,NA,NA,NA,NA
62131,5,5,-1.81517,NA,1757.337,NA,NA,NA,NA
62311,5,5,-1.49947,NA,NA,6587.374,NA,NA,NA
62409,4.73132,5,-0.510216,NA,3121.562,NA,NA,NA,NA
62687,4.63827,5,-1.11526,NA,290.039,NA,NA,NA,NA
62796,5,4.81332,-2.14216,5381.169,NA,NA,NA,NA,NA
63000,5,4.91251,-0.908914,4638.277,NA,NA,NA,NA,NA
63187,4.91333,5,-2.1613,NA,4464.682,NA,NA,NA,NA
63413,4.28181,4.74294,-1.2581,NA,NA,NA,1934.538,NA,NA
63606,5,4.58542,-1.04876,NA,2159.572,NA,NA,NA,NA
63925,5,4.99278,-0.129514,NA,NA,4405.145,NA,NA,NA
63985,4.06306,5,-0.330174,NA,1241.04,NA,NA,NA,NA
64255,4.34545,5,-1.36759,NA,6447.18,NA,NA,NA,NA
64376,3.45408,4.82286,-2.36145,NA,376.479,NA,NA,NA,NA
64742,5,4.9572,-1.11588,NA,614.437,NA,NA,NA,NA
64778,5,4.39897,0.0475809,NA,1123.474,NA,NA,NA,NA
65044,4.25659,5,-0.915957,NA,NA,3086.751,NA,NA,NA
65217,4.97444,5,-0.780234,NA,14389.656,NA,NA,NA,NA
65428,4.69737,5,0.289235,NA,3645.568,NA,NA,NA,NA
65745,4.68498,5,0.827358,NA,NA,1594.662,NA,NA,NA
65950,5,5,-0.817969,NA,14597.316,NA,NA,NA,NA
66051,4.62802,4.86964,-0.826594,NA,12879.737,NA,NA,NA,NA
66237,4.84917,5,-0.803962,NA,17387.363,NA,NA,NA,NA
66468,4.18418,4.71967,-0.391386,NA,1791.528,NA,NA,NA,NA
66647,4.23693,5,-0.136202,NA,5753.688,NA,NA,NA,NA
66784,5,5,-2.008,NA,5553.104,NA,NA,NA,NA
67023,5,4.00174,-1.27112,NA,285.348,NA,NA,NA,NA
67201,5,5,0.37352,NA,3340.057,NA,NA,NA,NA
67371,5,5,-0.571958,2128.236,NA,NA,NA,NA,NA
67611,5,4.62427,-1.00474,4514.344,NA,NA,NA,NA,NA
67790,5,5,-0.85701,NA,12561.162,NA,NA,NA,NA
68126,5,5,-1.69659,NA,NA,2109.926,NA,NA,NA
68172,5,5,-1.56953,NA,NA,5419.739,NA,NA,NA
68454,5,4.612,-2.46641,NA,NA,741.43,NA,NA,NA
68692,4.91291,5,-0.857654,NA,16095.696,NA,NA,NA,NA
68916,5,5,-1.01131,NA,8865.898,NA,NA,NA,NA
69071,5,5,0.321305,NA,3449.09,NA,NA,NA,NA
69239,5,5,1.21625,NA,2044.503,NA,NA,NA,NA
69484,4.96767,4.83715,0.95747,2153.865,NA,NA,NA,NA,NA
69602,5,5,-1.0055,NA,9258.519,NA,NA,NA,NA
69923,5,4.8897,-0.965483,12651.561,NA,NA,NA,NA,NA
70046,5,5,-0.800575,NA,13057.998,NA,NA,NA,NA
70178,5,4.9394,-0.599527,NA,9241.13,NA,NA,NA,NA
70436,5,5,-0.546644,NA,4844.038,NA,NA,NA,NA
70733,5,5,-0.57876,4374.481,NA,NA,NA,NA,NA
70831,5,4.53756,-0.75341,NA,1679.565,NA,NA,NA,NA
71087,5,5,-0.741566,NA,12533.348,NA,NA,NA,NA
71325,5,5,-0.681003,NA,11123.132,NA,NA,NA,NA
71407,5,5,-1.37939,7115.283,NA,NA,NA,NA,NA
71606,5,5,-0.573432,6575.212,NA,NA,NA,NA,NA
71826,3.48876,4.33675,-0.896927,NA,934.133,NA,NA,NA,NA
72043,4.35583,5,-1.68999,1423.471,NA,NA,NA,NA,NA
72197,4.19054,4.86584,-1.44882,NA,11164.994,NA,NA,NA,NA
72407,5,3.75658,-2.03807,NA,2016.719,NA,NA,NA,NA
72588,4.6834,5,-0.661055,NA,9088.307,NA,NA,NA,NA
72794,3.85879,4.81096,-2.09137,NA,1947.836,NA,NA,NA,NA
73043,5,5,-2.17053,NA,3259.929,NA,NA,NA,NA
73222,4.66657,4.89473,-0.872497,NA,12959.978,NA,NA,NA,NA
73512,4.75887,5,-0.0251776,2590.703,NA,NA,NA,NA,NA
73666,5,5,1.43055,NA,1992.973,NA,NA,NA,NA
73926,5,4.06055,1.75886,NA,512.294,NA,NA,NA,NA
74094,4.96895,4.85748,-0.145055,3688.774,NA,NA,NA,NA,NA
74220,5,5,-1.88477,NA,4006.231,NA,NA,NA,NA
74491,5,4.94297,-2.17737,NA,3745.675,NA,NA,NA,NA
74672,5,4.32947,-2.3906,NA,1311.826,NA,NA,NA,NA
74928,5,4.16539,-0.301908,3529.265,NA,NA,NA,NA,NA
75002,4.90451,3.79357,-0.968718,NA,4226.677,NA,NA,NA,NA
75313,4.78942,3.79411,-1.08372,NA,1394.733,NA,NA,NA,NA
75363,5,4.27758,-1.36992,NA,8525.719,NA,NA,NA,NA
75659,5,4.35428,-1.23969,NA,3813.841,NA,NA,NA,NA
75795,5,5,-0.990712,NA,7779.415,NA,NA,NA,NA
