id,x0,x1,x2,fitness7,fitness7.5,fitness8,fitness6.5,fitness9,fitness8.5,fitness9.5,fitness10,fitness6
29752,7.34854,7.52958,7.89827,NA,NA,0.948,NA,NA,NA,NA,NA,NA
29952,7.21953,7.27772,7.16139,0.786,NA,NA,NA,NA,NA,NA,NA,NA
30114,7.36809,8.10809,7.41902,NA,NA,NA,NA,NA,0.86,NA,NA,NA
30220,7.07304,7.05215,7.71683,NA,NA,0.783,NA,NA,NA,NA,NA,NA
30588,6.59361,6.78142,7.18429,NA,0.513,NA,NA,NA,NA,NA,NA,NA
30759,7.58154,7.01217,8.17035,NA,0.852,NA,NA,NA,NA,NA,NA,NA
30942,8.3592,7.6133,8.41739,NA,0.812,NA,NA,NA,NA,NA,NA,NA
31149,7.46172,7.18601,6.24578,0.443,NA,NA,NA,NA,NA,NA,NA,NA
31287,6.29857,7.97869,7.21651,NA,0.573,NA,NA,NA,NA,NA,NA,NA
31422,6.99542,8.07445,7.20531,NA,0.781,NA,NA,NA,NA,NA,NA,NA
31747,7.97802,8.23504,7.32588,NA,NA,NA,NA,NA,0.767,NA,NA,NA
31914,7.33887,7.81499,7.15831,NA,NA,0.9,NA,NA,NA,NA,NA,NA
32037,7.31957,8.24409,7.71251,NA,NA,NA,NA,NA,0.857,NA,NA,NA
32237,7.50866,7.54722,7.96793,0.867,NA,NA,NA,NA,NA,NA,NA,NA
32463,7.04403,7.27006,8.03108,NA,NA,NA,0.653,NA,NA,NA,NA,NA
32761,7.73045,7.78073,7.49486,NA,NA,NA,NA,NA,NA,NA,NA,0.596
32940,7.24931,8.36948,6.91914,0.654,NA,NA,NA,NA,NA,NA,NA,NA
33060,7.11065,7.90144,7.58294,0.855,NA,NA,NA,NA,NA,NA,NA,NA
33304,7.83233,7.84144,6.93065,NA,NA,NA,0.671,NA,NA,NA,NA,NA
33443,7.8779,7.6318,8.14532,NA,0.955,NA,NA,NA,NA,NA,NA,NA
33779,7.10966,7.7532,7.71617,NA,NA,0.919,NA,NA,NA,NA,NA,NA
33843,6.71592,7.91042,8.53309,NA,NA,0.641,NA,NA,NA,NA,NA,NA
34102,6.78002,7.60671,8.03998,NA,NA,0.782,NA,NA,NA,NA,NA,NA
34315,7.52985,7.37585,8.72831,NA,NA,0.754,NA,NA,NA,NA,NA,NA
34438,8.08389,7.07082,7.99568,NA,NA,0.867,NA,NA,NA,NA,NA,NA
34682,6.44236,7.33533,7.49471,NA,0.628,NA,NA,NA,NA,NA,NA,NA
34805,8.39049,6.94147,8.89187,NA,NA,NA,NA,0.379,NA,NA,NA,NA
35127,7.02617,8.24321,7.84047,NA,NA,0.816,NA,NA,NA,NA,NA,NA
35291,7.12741,7.95513,7.99177,NA,0.886,NA,NA,NA,NA,NA,NA,NA
35498,7.80727,8.35027,7.97685,0.821,NA,NA,NA,NA,NA,NA,NA,NA
35780,8.65015,8.10441,7.41451,NA,NA,NA,NA,NA,0.739,NA,NA,NA
35874,8.0858,8.09255,7.73031,NA,NA,NA,NA,NA,0.869,NA,NA,NA
36071,7.80074,8.16648,8.13688,NA,NA,NA,NA,NA,0.824,NA,NA,NA
36330,7.95594,7.95481,8.44352,NA,NA,NA,NA,NA,0.793,NA,NA,NA
36545,8.25619,9.28127,7.83904,NA,0.603,NA,NA,NA,NA,NA,NA,NA
