id,x0,x1,x2,fitness8,fitness7.5,fitness6.5,fitness9,fitness7,fitness8.5,fitness9.5,fitness6,fitness5
34721,7.96831,7.54411,8.41158,NA,NA,NA,NA,NA,0.734,NA,NA,NA
34945,7.36846,7.65047,8.59927,0.795,NA,NA,NA,NA,NA,NA,NA,NA
35157,7.83959,7.15351,8.5621,0.788,NA,NA,NA,NA,NA,NA,NA,NA
35230,8.30987,7.29322,8.30947,0.826,NA,NA,NA,NA,NA,NA,NA,NA
35471,8.58601,7.29263,8.22001,0.778,NA,NA,NA,NA,NA,NA,NA,NA
35734,8.80792,7.14505,8.13628,0.704,NA,NA,NA,NA,NA,NA,NA,NA
35920,7.82091,7.21472,8.2637,0.87,NA,NA,NA,NA,NA,NA,NA,NA
36148,8.40109,6.66446,7.65002,0.681,NA,NA,NA,NA,NA,NA,NA,NA
36351,7.49341,8.06759,8.8537,NA,0.758,NA,NA,NA,NA,NA,NA,NA
36475,8.04738,7.90314,8.60112,0.822,NA,NA,NA,NA,NA,NA,NA,NA
36749,7.21926,7.70449,8.55454,0.785,NA,NA,NA,NA,NA,NA,NA,NA
36864,7.74308,8.0724,7.69912,NA,NA,NA,NA,NA,NA,0.654,NA,NA
37095,7.69615,7.43029,7.91558,NA,NA,NA,NA,NA,0.859,NA,NA,NA
37365,7.42096,7.25941,7.76582,0.938,NA,NA,NA,NA,NA,NA,NA,NA
37563,7.78067,7.259,7.18538,NA,0.897,NA,NA,NA,NA,NA,NA,NA
37659,7.72244,7.06901,7.05887,0.811,NA,NA,NA,NA,NA,NA,NA,NA
37881,7.81005,8.18576,6.55725,NA,NA,NA,NA,NA,0.593,NA,NA,NA
38127,8.20447,7.67497,7.14682,NA,NA,NA,NA,NA,NA,0.559,NA,NA
38355,8.28822,8.19492,7.32991,0.81,NA,NA,NA,NA,NA,NA,NA,NA
38496,7.9851,8.39194,8.07759,0.871,NA,NA,NA,NA,NA,NA,NA,NA
38662,7.20242,7.50324,7.41507,NA,0.904,NA,NA,NA,NA,NA,NA,NA
38836,6.99473,7.37526,7.69908,0.851,NA,NA,NA,NA,NA,NA,NA,NA
39191,7.48369,7.46569,8.4068,NA,0.887,NA,NA,NA,NA,NA,NA,NA
39335,7.4281,7.10019,7.17763,0.842,NA,NA,NA,NA,NA,NA,NA,NA
39500,7.82525,6.86344,6.78604,NA,0.653,NA,NA,NA,NA,NA,NA,NA
39674,7.9317,7.54733,7.0376,NA,NA,NA,NA,0.777,NA,NA,NA,NA
39948,7.46011,7.47444,6.78331,NA,NA,NA,NA,NA,NA,NA,0.367,NA
40007,8.0641,7.96251,7.27884,0.917,NA,NA,NA,NA,NA,NA,NA,NA
40364,7.23779,7.61061,7.79987,0.947,NA,NA,NA,NA,NA,NA,NA,NA
40498,7.4205,7.94134,8.25925,NA,0.901,NA,NA,NA,NA,NA,NA,NA
40715,8.11102,7.65118,6.81787,NA,NA,NA,NA,NA,0.702,NA,NA,NA
40912,7.85216,7.6366,7.05568,0.863,NA,NA,NA,NA,NA,NA,NA,NA
41151,8.58592,7.44076,7.92113,NA,NA,NA,NA,NA,0.77,NA,NA,NA
41208,7.28601,7.22938,7.26309,0.864,NA,NA,NA,NA,NA,NA,NA,NA
41580,8.32762,7.79657,7.0684,NA,0.81,NA,NA,NA,NA,NA,NA,NA
41654,7.34984,7.97425,6.66809,NA,NA,NA,NA,0.687,NA,NA,NA,NA
41823,8.31409,7.73,6.59897,NA,0.686,NA,NA,NA,NA,NA,NA,NA
42024,8.306,7.79362,8.32751,0.819,NA,NA,NA,NA,NA,NA,NA,NA
