id,x0,x1,x2,fitness4.5,fitness5,fitness4,fitness3.5,fitness3
41722,-1.96708,5,5,NA,5385.623,NA,NA,NA
41976,-1.02325,5,5,5176.256,NA,NA,NA,NA
42020,-1.50771,5,5,6798.186,NA,NA,NA,NA
42356,-0.989093,4.89287,5,NA,10321.295,NA,NA,NA
42517,-1.56303,4.30957,5,NA,6876.955,NA,NA,NA
42763,-1.40375,4.25337,4.64453,NA,5086.19,NA,NA,NA
42813,-0.619732,5,4.72404,NA,9013.795,NA,NA,NA
43148,-0.560807,5,5,NA,5595.325,NA,NA,NA
43297,-0.989676,5,5,NA,7832.542,NA,NA,NA
43523,-1.969,5,4.82746,NA,7117.233,NA,NA,NA
43751,-2.06487,5,5,NA,5227.919,NA,NA,NA
43991,-0.664731,4.94854,4.60148,NA,7368.598,NA,NA,NA
44069,-1.40713,4.47975,4.70222,NA,2098.066,NA,NA,NA
44261,-1.31723,4.79102,3.3986,NA,3475.559,NA,NA,NA
44548,-1.46495,3.34975,4.98071,NA,4187.57,NA,NA,NA
44726,-1.01705,4.96962,5,NA,7164.864,NA,NA,NA
44912,-1.70424,4.1539,5,NA,1472.802,NA,NA,NA
45056,-0.920616,5,4.13654,NA,NA,2798.852,NA,NA
45268,-2.03357,5,4.66197,NA,5240.68,NA,NA,NA
45506,-0.832481,5,5,NA,NA,NA,4103.285,NA
45656,-0.686052,5,5,NA,NA,2999.314,NA,NA
45815,-0.391197,5,4.23107,1728.099,NA,NA,NA,NA
46127,-0.160992,4.6608,5,2847.504,NA,NA,NA,NA
46206,-0.136745,4.71428,3.40109,NA,2039.631,NA,NA,NA
46540,-0.574084,5,4.22976,2016.54,NA,NA,NA,NA
46660,-0.590929,4.70016,4.84776,NA,9134.385,NA,NA,NA
46931,0.34034,4.77471,4.65297,NA,3727.414,NA,NA,NA
47062,0.264897,5,4.77298,NA,3730.557,NA,NA,NA
47269,-0.713376,5,5,NA,11924.914,NA,NA,NA
47466,-0.886545,5,5,NA,13005.845,NA,NA,NA
47794,-0.772832,5,5,NA,12941.904,NA,NA,NA
47942,-0.883192,5,5,NA,12001.486,NA,NA,NA
48190,-0.533837,5,5,NA,4155.708,NA,NA,NA
48335,-0.781643,5,4.87727,NA,17255.32,NA,NA,NA
48455,-1.89695,5,5,NA,4273.717,NA,NA,NA
48744,-1.90029,4.99352,4.94653,NA,5379.392,NA,NA,NA
48916,-0.967234,5,5,NA,8932.382,NA,NA,NA
49123,-0.937626,5,5,NA,10217.43,NA,NA,NA
49224,-0.625162,4.95829,5,NA,13220.709,NA,NA,NA
49452,-0.894905,5,5,NA,15535.572,NA,NA,NA
49743,-1.06987,5,5,NA,3258.007,NA,NA,NA
49889,-0.535128,4.98451,5,NA,4509.598,NA,NA,NA
50012,-0.823782,5,5,NA,12972.776,NA,NA,NA
50240,-0.151121,5,4.37956,NA,3788.695,NA,NA,NA
50465,-0.92428,5,5,NA,10727.882,NA,NA,NA
