id,x0,x1,x2,fitness4.5,fitness4,fitness5,fitness3.5,fitness2.5,fitness3,fitness2,fitness0.5,fitness-1,fitness-1.5,fitness-2,fitness-3,fitness-2.5,fitness-0.5,fitness0,fitness1.5,fitness1,fitness-3.5,fitness-4,fitness-4.5,fitness-5
18494,-1.42596,-1.42594,1.4296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,996.801,NA,NA,NA,NA,NA,NA
18685,-3.6382,-0.447765,0.0783193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.432,NA,NA,NA,NA,NA,NA,NA
18802,-2.88182,-0.62158,-0.414112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213.782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19067,-2.76441,1.0406,-0.82296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.691,NA,NA,NA
19300,-2.86645,-0.247446,-0.342399,NA,NA,NA,NA,NA,NA,NA,NA,NA,1361.439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19584,-2.52667,-0.060751,-1.45358,NA,NA,NA,NA,NA,NA,NA,NA,4230.305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19686,-0.918756,-0.946872,-2.11691,NA,NA,NA,NA,NA,NA,NA,NA,NA,4296.928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19801,-0.506768,0.912217,-2.0932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,309.707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20002,-1.83917,1.66082,-0.5989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.724,NA,NA,NA,NA,NA,NA,NA,NA,NA
20276,-1.27637,2.08892,-1.36316,NA,NA,NA,NA,NA,NA,NA,NA,NA,1087.387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20575,-1.04453,2.06418,-2.58669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20614,-3.42628,3.2275,-3.58828,NA,NA,NA,NA,NA,NA,NA,NA,114.928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20973,-0.410895,3.4093,-4.25608,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21193,-0.89084,3.55593,-3.72405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.958,NA,NA,NA,NA,NA,NA,NA
21329,-0.338159,3.75366,-3.37265,NA,NA,NA,NA,NA,NA,NA,131.133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21427,0.0873561,4.61222,-3.25879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.07,NA,NA,NA,NA,NA,NA
21777,-0.243388,4.83081,-3.7937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,637.121,NA,NA,NA,NA,NA,NA
21918,-0.784083,3.91854,-3.31932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198.495,NA,NA,NA,NA,NA,NA
