id,x0,x1,x2,fitness8,fitness7,fitness8.5,fitness6.5,fitness7.5,fitness9,fitness9.5
31819,7.51148,7.52382,7.11317,NA,0.839,NA,NA,NA,NA,NA
32153,7.18103,7.50243,7.75031,NA,NA,NA,NA,0.923,NA,NA
32302,7.74706,8.2041,7.6043,NA,NA,NA,NA,0.939,NA,NA
32529,7.41103,8.02151,7.96261,0.906,NA,NA,NA,NA,NA,NA
32617,7.78072,7.93609,7.33953,NA,NA,0.836,NA,NA,NA,NA
32874,8.75962,7.71106,7.80358,NA,NA,NA,NA,0.8,NA,NA
33122,7.93081,8.00086,7.18196,NA,NA,NA,NA,0.908,NA,NA
33381,7.42886,7.65673,8.47318,NA,0.783,NA,NA,NA,NA,NA
33432,7.37258,7.70401,8.20667,NA,NA,NA,NA,0.913,NA,NA
33734,7.65535,7.46013,8.2347,NA,NA,NA,NA,0.916,NA,NA
33832,7.52662,6.71569,7.70466,NA,0.717,NA,NA,NA,NA,NA
34165,7.31714,7.46797,6.94082,NA,NA,NA,NA,0.83,NA,NA
34325,9.09985,7.38798,7.30999,0.662,NA,NA,NA,NA,NA,NA
34551,7.63995,7.86629,7.47509,0.961,NA,NA,NA,NA,NA,NA
34712,8.41235,8.099,7.41496,NA,0.737,NA,NA,NA,NA,NA
34952,8.65648,8.09039,7.88841,NA,NA,NA,NA,0.813,NA,NA
35200,7.96857,7.87718,7.52152,NA,NA,0.886,NA,NA,NA,NA
35341,8.10625,7.6107,7.7527,0.951,NA,NA,NA,NA,NA,NA
35502,7.37442,8.08208,8.00857,NA,NA,NA,NA,0.93,NA,NA
35728,7.71684,8.60984,7.84541,NA,NA,NA,NA,NA,0.638,NA
35936,7.80039,7.87579,6.86356,NA,NA,0.784,NA,NA,NA,NA
36077,7.37547,7.36131,7.86666,NA,NA,NA,0.751,NA,NA,NA
36202,7.60179,7.87693,7.90934,0.973,NA,NA,NA,NA,NA,NA
36425,8.64666,8.31753,7.60553,NA,NA,NA,NA,0.778,NA,NA
36794,7.81393,8.21563,7.5753,NA,0.838,NA,NA,NA,NA,NA
36805,6.98832,8.10704,7.48554,NA,NA,0.79,NA,NA,NA,NA
37132,6.9798,7.50275,6.82142,0.712,NA,NA,NA,NA,NA,NA
37239,7.16876,7.46391,7.93207,NA,NA,NA,NA,0.907,NA,NA
37428,8.03355,7.85781,7.78422,NA,0.893,NA,NA,NA,NA,NA
37611,6.7454,8.15991,7.76712,0.726,NA,NA,NA,NA,NA,NA
37869,7.65696,7.92566,8.09138,0.956,NA,NA,NA,NA,NA,NA
38102,7.43511,8.31069,7.82088,NA,NA,NA,NA,0.912,NA,NA
38286,7.74877,7.88032,7.65744,0.978,NA,NA,NA,NA,NA,NA
38511,7.81134,8.16392,7.76481,NA,NA,NA,NA,0.953,NA,NA
38612,8.23098,7.68973,8.0547,NA,0.802,NA,NA,NA,NA,NA
38861,7.55997,7.17876,8.24493,NA,NA,NA,NA,0.846,NA,NA
39086,8.41563,7.61555,7.12667,0.803,NA,NA,NA,NA,NA,NA
39210,7.69512,8.13993,8.13679,NA,NA,NA,NA,0.918,NA,NA
39539,7.82397,7.47721,8.62374,0.795,NA,NA,NA,NA,NA,NA
39627,7.24963,7.4424,7.01449,NA,NA,NA,NA,0.837,NA,NA
39826,8.20715,7.45227,7.2355,NA,NA,NA,NA,0.89,NA,NA
40187,7.23039,8.52574,8.22993,NA,NA,NA,NA,0.779,NA,NA
40400,7.01836,7.22286,7.65862,NA,NA,NA,NA,0.835,NA,NA
40445,7.71581,7.60582,7.83124,NA,NA,NA,NA,0.982,NA,NA
40612,7.76606,7.47747,7.36834,NA,0.824,NA,NA,NA,NA,NA
40937,7.90372,7.37978,7.80029,NA,0.92,NA,NA,NA,NA,NA
41010,8.33509,8.38222,8.12918,NA,NA,NA,NA,0.808,NA,NA
41330,8.09391,8.5696,7.71385,0.793,NA,NA,NA,NA,NA,NA
41587,7.64234,8.32324,6.813,NA,0.71,NA,NA,NA,NA,NA
41603,7.51897,7.21799,7.40064,NA,NA,NA,NA,0.92,NA,NA
41845,7.95948,7.51865,8.67592,NA,NA,0.729,NA,NA,NA,NA
42040,7.61611,7.92752,8.09727,NA,NA,0.871,NA,NA,NA,NA
42231,7.42576,7.82665,8.59504,NA,NA,NA,NA,0.845,NA,NA
42485,7.20086,7.39446,7.61451,0.901,NA,NA,NA,NA,NA,NA
42788,7.86061,7.21171,8.19553,0.887,NA,NA,NA,NA,NA,NA
42970,7.13462,7.55547,7.45296,NA,0.842,NA,NA,NA,NA,NA
43114,7.78844,8.07509,8.39968,NA,NA,NA,NA,0.883,NA,NA
43288,7.26006,8.25199,8.91851,NA,NA,NA,NA,0.677,NA,NA
43502,7.89963,7.5485,7.02502,NA,NA,NA,NA,0.887,NA,NA
43670,7.60422,8.00836,7.65812,0.944,NA,NA,NA,NA,NA,NA
43804,6.83896,7.57685,7.97561,NA,NA,NA,NA,0.794,NA,NA
44178,7.76384,7.24338,7.48975,NA,NA,NA,NA,0.943,NA,NA
44267,8.06523,8.09979,8.19224,NA,NA,NA,NA,0.891,NA,NA
44516,7.86341,8.20797,8.28126,0.869,NA,NA,NA,NA,NA,NA
44641,8.36684,8.26568,7.85953,NA,NA,0.787,NA,NA,NA,NA
44895,8.1984,7.55754,7.13623,NA,NA,NA,NA,0.876,NA,NA
45122,7.86662,7.44604,6.89733,NA,NA,NA,NA,0.813,NA,NA
45278,8.27293,7.58291,7.50031,NA,NA,NA,NA,0.927,NA,NA
45593,8.50028,7.2667,7.64838,0.817,NA,NA,NA,NA,NA,NA
45653,7.92535,7.53409,7.17145,NA,NA,0.847,NA,NA,NA,NA
45972,8.19102,8.11967,7.16251,NA,NA,0.785,NA,NA,NA,NA
46172,7.97859,7.75869,7.39726,NA,NA,NA,NA,0.964,NA,NA
46239,8.0249,7.04245,7.8328,0.873,NA,NA,NA,NA,NA,NA
46520,8.07103,7.61998,7.04773,NA,NA,NA,NA,0.877,NA,NA
46629,8.05997,7.78506,7.58053,NA,NA,NA,NA,0.969,NA,NA
46885,7.62151,6.8551,7.83242,0.841,NA,NA,NA,NA,NA,NA
47139,7.52342,7.93701,7.95974,NA,NA,NA,NA,0.941,NA,NA
47346,7.30994,6.98341,7.25152,NA,NA,NA,NA,0.796,NA,NA
47532,8.00641,7.60094,7.73298,NA,NA,NA,NA,0.969,NA,NA
47699,7.12926,6.96208,8.1531,NA,NA,0.614,NA,NA,NA,NA
47873,6.43462,7.93422,7.51301,0.633,NA,NA,NA,NA,NA,NA
48182,7.36047,8.12435,7.24977,0.863,NA,NA,NA,NA,NA,NA
48355,8.20136,8.78449,7.17284,0.668,NA,NA,NA,NA,NA,NA
48573,7.77304,8.02862,6.6031,NA,NA,NA,NA,0.697,NA,NA
48673,7.85001,7.5602,7.77823,NA,NA,NA,NA,0.988,NA,NA
48918,8.18872,7.02552,7.83523,NA,NA,0.784,NA,NA,NA,NA
49109,8.25947,7.72471,8.48868,NA,0.767,NA,NA,NA,NA,NA
49304,8.02619,7.649,7.69888,NA,NA,0.841,NA,NA,NA,NA
49542,7.59193,7.33302,7.86793,NA,NA,0.87,NA,NA,NA,NA
49613,7.16976,6.19192,7.64671,NA,NA,NA,NA,0.537,NA,NA
49999,7.46723,7.51059,7.03634,NA,NA,NA,NA,0.882,NA,NA
50014,7.59242,8.01359,8.05003,NA,NA,NA,NA,0.948,NA,NA
50378,7.85317,8.11664,8.16174,NA,NA,0.785,NA,NA,NA,NA
50445,7.59978,8.06993,8.69359,NA,NA,NA,NA,0.81,NA,NA
50786,8.36707,8.0902,7.86008,NA,NA,NA,NA,0.873,NA,NA
50963,7.94843,7.25751,7.51325,0.916,NA,NA,NA,NA,NA,NA
51189,6.73161,7.03581,7.64891,0.67,NA,NA,NA,NA,NA,NA
51261,7.16878,7.22426,7.88474,NA,NA,NA,NA,0.879,NA,NA
51588,7.08591,6.8281,8.30068,NA,NA,NA,NA,0.686,NA,NA
51734,6.88123,7.24926,8.73317,NA,NA,NA,NA,0.621,NA,NA
51890,7.49402,8.36253,7.93561,NA,NA,NA,NA,0.862,NA,NA
52118,7.51055,7.36453,7.81123,NA,NA,0.848,NA,NA,NA,NA
