id,x0,x1,x2,fitness-2,fitness-4,fitness-3,fitness-5,fitness-4.5,fitness-3.5
51169,-2.54422,3.47921,-5,NA,NA,NA,-71.499,NA,NA
51247,-1.68734,3.57632,-5,NA,-29.126,NA,NA,NA,NA
51581,-1.74677,3.32196,-4.84351,NA,-34.797,NA,NA,NA,NA
51714,-0.866783,4.18274,-5,NA,NA,NA,NA,-66.41,NA
51845,-2.05563,3.83227,-5,NA,NA,NA,-36.213,NA,NA
52181,-1.86334,3.95107,-5,NA,NA,NA,-43.365,NA,NA
52382,-1.78763,3.77828,-4.813,NA,NA,NA,NA,-8.655,NA
52429,-2.13559,4.02229,-5,NA,NA,NA,NA,-38.019,NA
52630,-2.09278,4.19151,-5,NA,NA,NA,-50.594,NA,NA
52965,-1.60147,3.43362,-4.78815,NA,NA,NA,NA,-20.045,NA
53060,-1.91359,3.26635,-5,NA,-50.803,NA,NA,NA,NA
53293,-1.36095,3.60591,-5,NA,NA,NA,-46.378,NA,NA
53456,-1.57325,3.36763,-5,NA,NA,NA,NA,-27.199,NA
53664,-1.97263,5,-5,NA,NA,NA,-79.271,NA,NA
53976,-1.92166,3.42655,-4.40557,NA,NA,NA,NA,-54.704,NA
54174,-1.87355,3.92342,-5,NA,NA,NA,-42.198,NA,NA
54367,-1.48492,3.88968,-4.90802,NA,NA,NA,-34.021,NA,NA
54510,-1.94921,4.17246,-4.85428,NA,NA,NA,NA,-24.653,NA
54714,-1.83914,4.07399,-5,NA,-44.31,NA,NA,NA,NA
54999,-1.61836,4.27641,-5,NA,NA,NA,NA,NA,-52.236
55040,-1.72597,3.53341,-5,NA,NA,NA,-39.726,NA,NA
55387,-1.96614,3.82654,-5,NA,NA,NA,-34.239,NA,NA
55590,-1.65616,4.12336,-5,NA,NA,NA,NA,-32.464,NA
55670,-2.23113,4.28921,-5,NA,NA,NA,-50.099,NA,NA
55995,-1.60897,3.89915,-5,NA,NA,NA,-49.031,NA,NA
56129,-2.50914,3.50002,-4.86185,NA,NA,NA,NA,-54.899,NA
56209,-1.83196,3.36606,-4.96452,NA,NA,NA,-48.241,NA,NA
56406,-1.50557,3.81034,-5,NA,NA,NA,NA,-14.241,NA
56601,-1.98428,3.9639,-5,NA,NA,NA,-40.32,NA,NA
56974,-2.13558,3.78632,-5,NA,-41.244,NA,NA,NA,NA
57086,-2.25385,4.21174,-5,NA,NA,NA,NA,-51.333,NA
57204,-2.57373,4.29801,-5,NA,NA,NA,-67.155,NA,NA
57523,-2.01182,3.77082,-4.66788,NA,NA,NA,-39.206,NA,NA
57767,-2.28725,3.90302,-4.43713,NA,NA,NA,NA,-58.1,NA
57829,-2.19251,4.07623,-4.94573,NA,NA,NA,NA,-41.952,NA
58025,-1.14984,3.90288,-4.74951,NA,NA,NA,NA,-19.041,NA
58340,-2.42433,4.061,-5,NA,NA,NA,NA,-51.365,NA
58585,-2.11162,4.04194,-4.79032,NA,NA,NA,-45.388,NA,NA
58606,-1.79664,3.89372,-5,NA,NA,NA,NA,-14.695,NA
58986,-1.92862,3.34148,-5,NA,NA,NA,-66.189,NA,NA
59021,-2.45697,4.19583,-5,NA,NA,NA,-57.847,NA,NA
59238,-1.9878,2.97964,-5,NA,NA,NA,-57.569,NA,NA
59479,-1.82728,3.33798,-5,NA,NA,NA,NA,-39.435,NA
59687,-2.49387,4.17504,-4.82336,NA,NA,NA,-59.127,NA,NA
59886,-1.55572,3.57266,-4.92767,NA,-36.108,NA,NA,NA,NA
60126,-1.61098,3.48638,-5,NA,NA,NA,NA,NA,-42.454
60345,-1.09724,4.19555,-5,NA,-64.29,NA,NA,NA,NA
60581,-1.7364,3.90374,-4.70445,NA,NA,NA,-35.928,NA,NA
60645,-1.10071,3.90767,-5,NA,NA,NA,-51.348,NA,NA
60928,-1.58354,4.54458,-5,NA,NA,NA,-64.023,NA,NA
61156,-1.66825,3.36343,-5,NA,NA,NA,-32.256,NA,NA
61294,-1.95807,4.0045,-5,NA,NA,NA,-36.273,NA,NA
61490,-2.4765,3.97188,-4.85013,NA,-58.743,NA,NA,NA,NA
61753,-2.38723,4.40851,-5,NA,NA,NA,-58.268,NA,NA
61804,-1.56542,3.84464,-5,NA,NA,NA,NA,-8.708,NA
62113,-1.47063,3.70869,-4.90505,NA,NA,NA,NA,-20.508,NA
62314,-1.40637,3.47331,-5,NA,NA,NA,NA,-27.525,NA
62405,-1.48168,4.11261,-4.26278,NA,-60.643,NA,NA,NA,NA
62652,-1.62508,4.13206,-5,NA,NA,NA,-35.07,NA,NA
62879,-1.56411,4.11456,-4.72239,NA,NA,NA,NA,-30.359,NA
63142,-1.88827,3.96184,-5,NA,NA,NA,-42.392,NA,NA
63339,-1.92925,3.4935,-5,NA,NA,NA,NA,-22.507,NA
63584,-1.44233,3.08023,-5,NA,NA,NA,-67.875,NA,NA
63728,-2.173,3.61368,-5,NA,NA,NA,-52.272,NA,NA
63957,-1.97213,2.90058,-4.87741,NA,NA,NA,-50.608,NA,NA
64101,-1.335,3.33197,-5,NA,NA,NA,NA,-26.777,NA
64296,-2.11626,3.4202,-5,NA,-59.59,NA,NA,NA,NA
64566,-1.57798,4.22938,-5,NA,-37.347,NA,NA,NA,NA
64781,-1.82348,3.72743,-5,NA,NA,NA,-45.073,NA,NA
64957,-1.71397,3.66089,-5,NA,NA,NA,-31.733,NA,NA
65001,-1.67225,3.29431,-5,NA,NA,NA,-38.145,NA,NA
65261,-1.75124,3.36937,-4.70668,NA,NA,NA,-35.172,NA,NA
65463,-1.37304,3.39357,-4.48562,NA,NA,NA,-49.819,NA,NA
65699,-1.45701,3.80018,-5,NA,NA,NA,-33.37,NA,NA
65911,-1.8237,3.89477,-4.66154,NA,-21.795,NA,NA,NA,NA
66050,-1.51729,4.03739,-5,NA,NA,NA,NA,-17.002,NA
66208,-1.26122,4.05378,-5,NA,NA,NA,-55.765,NA,NA
66578,-1.77567,4.5161,-4.92589,NA,NA,NA,-61.023,NA,NA
66769,-1.92345,3.64417,-5,NA,NA,NA,-42.809,NA,NA
66906,-1.55064,3.84117,-4.35706,NA,NA,NA,-55.41,NA,NA
67078,-1.71338,4.0106,-5,NA,NA,NA,-46.171,NA,NA
67340,-1.77137,3.65449,-5,NA,NA,NA,-47.06,NA,NA
67522,-1.48609,3.48064,-5,NA,NA,NA,-55.971,NA,NA
67784,-1.21266,4.1316,-5,NA,NA,NA,-58.191,NA,NA
67855,-1.71175,4.29439,-4.83678,NA,NA,NA,-31.942,NA,NA
68003,-2.31732,4.38197,-4.82767,NA,NA,NA,-50.236,NA,NA
68238,-1.56945,3.57863,-4.83501,NA,NA,NA,-43.361,NA,NA
68454,-2.01885,4.01371,-5,NA,NA,NA,NA,-33.052,NA
68668,-1.72985,4.16257,-5,NA,NA,NA,-38.019,NA,NA
68992,-1.3215,4.82938,-5,NA,NA,NA,-71.035,NA,NA
69053,-1.39323,4.23913,-4.47753,NA,NA,NA,-45.737,NA,NA
69311,-1.74519,4.15045,-5,NA,NA,NA,NA,-33.333,NA
69470,-1.59847,4.25388,-5,NA,NA,NA,-43.328,NA,NA
69780,-2.43063,3.78837,-5,NA,NA,NA,-55.351,NA,NA
69905,-1.80961,3.29725,-4.61088,NA,NA,NA,-58.68,NA,NA
70087,-2.0165,3.72088,-5,NA,NA,NA,-36.949,NA,NA
70215,-2.15461,3.76617,-5,NA,NA,NA,NA,-38.925,NA
70435,-1.72282,3.2994,-5,NA,NA,NA,-40.893,NA,NA
70752,-2.05788,3.58716,-5,NA,NA,NA,-50.392,NA,NA
70943,-1.47427,3.41078,-5,NA,NA,NA,NA,-10.285,NA
71008,-1.1931,4.26047,-4.62722,NA,-78.207,NA,NA,NA,NA
71379,-1.21448,4.28461,-5,NA,NA,NA,NA,-49.529,NA
71569,-2.31225,4.30791,-4.83737,NA,NA,NA,NA,-52.614,NA
71603,-2.31683,4.75755,-5,NA,NA,NA,NA,-56.484,NA
71921,-1.70168,3.84618,-4.73755,NA,-9.448,NA,NA,NA,NA
72194,-1.99447,2.83323,-5,NA,NA,NA,-69.697,NA,NA
72336,-2.09875,3.91826,-5,NA,NA,NA,-39.294,NA,NA
72587,-1.10856,4.2528,-5,NA,NA,NA,-49.758,NA,NA
72718,-1.03775,3.69491,-4.20026,NA,NA,NA,-72.676,NA,NA
72901,-1.65171,3.82528,-5,NA,-29.019,NA,NA,NA,NA
