id,x0,x1,x2,fitness-3,fitness-3.5,fitness-4,fitness-2.5,fitness-2,fitness-1.5,fitness-1,fitness-4.5,fitness-5,fitness-0.5
30750,1.57398,1.31086,-4.75649,-23.135,NA,NA,NA,NA,NA,NA,NA,NA,NA
30837,0.536165,1.947,-4.68971,NA,NA,NA,-46.512,NA,NA,NA,NA,NA,NA
31016,1.42053,2.11371,-5,NA,NA,NA,-21.882,NA,NA,NA,NA,NA,NA
31292,0.743969,2.78896,-5,NA,NA,NA,-63.11,NA,NA,NA,NA,NA,NA
31563,0.0885862,2.8526,-5,-109.371,NA,NA,NA,NA,NA,NA,NA,NA,NA
31788,0.947801,2.53318,-4.48296,NA,NA,NA,NA,NA,-66.13,NA,NA,NA,NA
31925,0.796658,2.95676,-5,NA,NA,NA,-69.664,NA,NA,NA,NA,NA,NA
32134,1.02976,2.77195,-4.54811,NA,NA,NA,NA,NA,-59.571,NA,NA,NA,NA
32387,2.24945,1.46279,-4.05378,NA,NA,NA,NA,-14.889,NA,NA,NA,NA,NA
32414,1.16202,1.87564,-4.29038,NA,NA,NA,NA,NA,-33.604,NA,NA,NA,NA
32667,1.14635,3.11548,-4.26536,NA,NA,NA,-57.296,NA,NA,NA,NA,NA,NA
32875,1.00993,3.10589,-4.63267,NA,NA,NA,NA,NA,NA,-108.744,NA,NA,NA
33094,1.43461,3.20909,-5,NA,NA,NA,NA,NA,-92.312,NA,NA,NA,NA
33219,1.77303,2.9422,-4.23247,NA,NA,NA,NA,NA,-57.951,NA,NA,NA,NA
33536,1.48217,1.86585,-4.6671,NA,NA,NA,NA,-10.485,NA,NA,NA,NA,NA
33767,1.87948,1.92788,-5,NA,NA,NA,NA,NA,NA,-52.968,NA,NA,NA
33878,1.9453,2.00406,-5,-21.93,NA,NA,NA,NA,NA,NA,NA,NA,NA
34122,1.69308,0.968253,-5,NA,-49.856,NA,NA,NA,NA,NA,NA,NA,NA
34356,2.21774,1.71313,-5,NA,NA,NA,-19.322,NA,NA,NA,NA,NA,NA
34488,1.33215,2.39094,-4.1851,-22.786,NA,NA,NA,NA,NA,NA,NA,NA,NA
34773,1.22342,2.25626,-3.22629,NA,NA,NA,-50.107,NA,NA,NA,NA,NA,NA
34869,2.80258,2.53832,-4.42153,NA,NA,NA,NA,NA,-63.041,NA,NA,NA,NA
35007,2.06872,1.66957,-3.65695,NA,NA,NA,NA,-31.593,NA,NA,NA,NA,NA
35222,2.18941,2.03254,-3.68654,NA,NA,NA,-21.752,NA,NA,NA,NA,NA,NA
35513,2.64438,1.82813,-4.19512,-28.918,NA,NA,NA,NA,NA,NA,NA,NA,NA
35709,2.45022,2.03266,-5,-36.718,NA,NA,NA,NA,NA,NA,NA,NA,NA
35831,2.24363,2.06685,-4.80162,NA,NA,NA,-16.907,NA,NA,NA,NA,NA,NA
36049,1.67679,1.95984,-5,NA,NA,NA,-16.87,NA,NA,NA,NA,NA,NA
36352,2.12543,2.15224,-5,NA,NA,NA,-21.722,NA,NA,NA,NA,NA,NA
36577,1.26926,1.97156,-3.16738,-47.976,NA,NA,NA,NA,NA,NA,NA,NA,NA
36641,0.593749,2.18036,-5,NA,NA,NA,NA,-57.432,NA,NA,NA,NA,NA
36853,1.41055,2.74357,-5,NA,NA,NA,NA,NA,-65.773,NA,NA,NA,NA
