id,x0,x1,x2,fitness5,fitness4,fitness4.5,fitness3.5
59176,4.6908,4.8129,-0.728871,14691.251,NA,NA,NA
59214,5,3.25823,-0.374497,NA,NA,655.066,NA
59431,5,4.36753,-1.29169,6116.057,NA,NA,NA
59760,5,4.38747,-1.5402,4784.364,NA,NA,NA
59883,5,5,-0.827534,15237.345,NA,NA,NA
60035,5,5,-2.49854,NA,NA,1982.894,NA
60288,4.16593,5,-1.3109,4944.462,NA,NA,NA
60438,5,5,-0.604964,7824.446,NA,NA,NA
60767,5,5,-1.92605,4860.877,NA,NA,NA
60900,4.61829,4.86172,-0.959137,6959.565,NA,NA,NA
61070,5,5,-1.00101,7240.896,NA,NA,NA
61365,5,5,-0.912674,11134.407,NA,NA,NA
61494,5,5,-0.785908,13025.988,NA,NA,NA
61610,5,5,-0.586191,6902.414,NA,NA,NA
61846,4.13991,4.94037,-0.141661,NA,NA,3496.396,NA
62024,5,5,-0.737117,12452.055,NA,NA,NA
62344,5,5,-0.974863,11108.508,NA,NA,NA
62454,4.30962,5,-1.29143,5634.941,NA,NA,NA
62749,5,3.38202,-1.36246,NA,NA,2584.493,NA
62854,5,4.82587,-0.87573,16031.541,NA,NA,NA
63038,4.92622,5,-0.592721,9071.546,NA,NA,NA
63303,4.4438,5,-0.094262,1979.302,NA,NA,NA
63531,4.65279,4.74533,-0.731398,NA,NA,7461.46,NA
63697,5,5,0.489063,1781.456,NA,NA,NA
63891,5,4.94432,-0.541708,5533.389,NA,NA,NA
64039,5,4.79058,-0.634757,11568.677,NA,NA,NA
64316,5,4.64957,-0.665636,7537.295,NA,NA,NA
64562,4.7426,5,-0.796699,14697.835,NA,NA,NA
64630,4.91704,5,-0.85133,16131.183,NA,NA,NA
64848,5,4.88608,-0.967199,11792.145,NA,NA,NA
65137,5,5,-0.842653,12780.588,NA,NA,NA
65240,5,5,-0.71509,NA,NA,4552.432,NA
65546,5,4.63365,-0.80329,10795.137,NA,NA,NA
65721,5,5,-0.780581,17132.254,NA,NA,NA
65807,4.86981,4.36538,-0.195821,5532.34,NA,NA,NA
66052,5,4.72058,0.382686,3425.046,NA,NA,NA
66241,5,4.5544,-0.669956,3102.927,NA,NA,NA
66567,4.7524,5,-0.781823,15060.286,NA,NA,NA
66696,4.71114,5,-1.04477,4806.545,NA,NA,NA
66841,4.58844,5,-0.852699,6746.115,NA,NA,NA
67167,4.21114,5,-0.179739,5297.74,NA,NA,NA
67229,3.197,5,-0.279147,2237.364,NA,NA,NA
67457,5,4.88712,-0.963299,12021.386,NA,NA,NA
67633,5,5,-1.25888,NA,NA,4309.49,NA
67891,4.69404,4.9185,-0.789608,15494.825,NA,NA,NA
68022,4.46915,5,-0.200002,1512.128,NA,NA,NA
68207,5,4.77062,-0.674215,17232.326,NA,NA,NA
68553,5,3.87633,-0.7896,4094.715,NA,NA,NA
68715,5,4.89337,-1.01302,8647.595,NA,NA,NA
68922,5,5,-0.881381,12046.705,NA,NA,NA
69072,4.62144,5,-0.752369,7342.755,NA,NA,NA
69248,5,5,-0.653662,9966.439,NA,NA,NA
69574,5,4.66048,-0.515343,2451.11,NA,NA,NA
69749,4.62381,5,0.425429,1671.18,NA,NA,NA
69898,5,4.78447,-0.680153,13631.114,NA,NA,NA
70150,5,5,-0.874858,12201.648,NA,NA,NA
70241,5,5,0.377129,3316.851,NA,NA,NA
70577,5,5,0.239021,2710.37,NA,NA,NA
70623,4.83389,4.46358,-0.135965,2128.029,NA,NA,NA
70942,4.8841,5,0.180778,2037.157,NA,NA,NA
71110,5,5,-0.710739,11856.93,NA,NA,NA
71380,5,5,-0.78892,16922.994,NA,NA,NA
71600,5,5,0.368478,3369.215,NA,NA,NA
71787,5,5,-0.817408,13012.811,NA,NA,NA
71836,5,5,-0.871615,12274.026,NA,NA,NA
72148,5,5,-0.896882,14187.253,NA,NA,NA
72226,5,5,-0.794411,13052.615,NA,NA,NA
72587,5,5,-0.817138,17221.608,NA,NA,NA
72708,4.25257,5,-1.44378,7297.636,NA,NA,NA
72857,3.30739,4.56763,-1.41683,1240.95,NA,NA,NA
73028,5,4.87325,-2.1471,5066.973,NA,NA,NA
73396,4.88651,5,-0.776366,17113.689,NA,NA,NA
73429,4.92763,5,-2.12871,5266.214,NA,NA,NA
73670,5,5,-2.007,5553.165,NA,NA,NA
73854,5,5,-1.00212,7181.754,NA,NA,NA
74073,5,5,-0.878428,12118.391,NA,NA,NA
74318,5,4.67193,-1.03357,4519.833,NA,NA,NA
74422,5,5,-0.607005,7921.922,NA,NA,NA
74780,5,5,-1.99287,NA,NA,3315.77,NA
74874,5,5,-0.842037,12788.594,NA,NA,NA
75187,5,5,-0.584513,6817.951,NA,NA,NA
75343,5,5,-0.889282,13928.672,NA,NA,NA
75509,5,4.9383,-0.1345,NA,3467.363,NA,NA
75638,4.91351,5,-0.843706,16359.527,NA,NA,NA
75827,5,5,-0.859977,15259.457,NA,NA,NA
76179,4.66544,5,-0.769797,10351.408,NA,NA,NA
76271,5,5,-0.83033,12918.546,NA,NA,NA
76514,4.77394,5,-0.90381,16739.425,NA,NA,NA
76601,5,5,-2.0578,7001.546,NA,NA,NA
76846,5,4.33687,-1.73439,1299.192,NA,NA,NA
77018,5,5,-1.03702,5227.346,NA,NA,NA
77260,5,4.99592,-0.606731,8054.223,NA,NA,NA
77439,5,4.38835,-0.264273,NA,NA,3946.952,NA
77784,5,5,-0.547882,4910.181,NA,NA,NA
77939,5,5,-0.682535,13190.836,NA,NA,NA
78074,5,5,-0.850251,NA,NA,13487.051,NA
78296,5,5,-0.712814,11910.58,NA,NA,NA
78481,4.98871,5,-0.741958,15551.321,NA,NA,NA
78674,5,5,-0.694556,11400.233,NA,NA,NA
78941,4.79582,5,-0.801306,16588.892,NA,NA,NA
79111,4.29751,5,-0.220013,5900.149,NA,NA,NA
