id,x0,x1,x2,fitness7.5,fitness8,fitness7,fitness9,fitness8.5,fitness6.5,fitness9.5
43880,8.43759,7.61991,7.2403,NA,0.849,NA,NA,NA,NA,NA
44146,8.22176,8.11632,7.41676,0.868,NA,NA,NA,NA,NA,NA
44227,7.5888,7.60003,7.14997,0.883,NA,NA,NA,NA,NA,NA
44514,7.47641,7.64911,7.03335,NA,0.887,NA,NA,NA,NA,NA
44621,7.805,8.19146,7.74197,0.952,NA,NA,NA,NA,NA,NA
44835,8.91402,7.4617,7.73395,0.737,NA,NA,NA,NA,NA,NA
45131,7.19896,7.93158,7.3904,NA,0.89,NA,NA,NA,NA,NA
45306,7.75156,7.58166,7.60729,NA,NA,NA,NA,0.935,NA,NA
45539,8.00857,8.03695,7.70687,NA,NA,NA,0.774,NA,NA,NA
45662,8.23072,7.42237,8.21123,NA,0.865,NA,NA,NA,NA,NA
45818,7.76311,8.16997,8.18026,0.871,NA,NA,NA,NA,NA,NA
46009,8.21653,8.74169,7.96535,NA,NA,0.638,NA,NA,NA,NA
46240,7.38836,8.86502,7.51246,0.756,NA,NA,NA,NA,NA,NA
46441,7.75929,7.91518,7.94818,NA,0.978,NA,NA,NA,NA,NA
46713,7.37584,7.85199,7.57829,0.956,NA,NA,NA,NA,NA,NA
46914,7.37476,8.53278,7.4517,NA,0.823,NA,NA,NA,NA,NA
47163,7.8358,8.04042,8.02621,0.947,NA,NA,NA,NA,NA,NA
47210,8.83521,7.55683,7.69646,NA,0.755,NA,NA,NA,NA,NA
47567,7.4319,6.85427,8.33917,0.727,NA,NA,NA,NA,NA,NA
47766,7.90893,7.15589,8.55051,NA,NA,0.718,NA,NA,NA,NA
47806,7.28175,7.75625,7.36464,NA,0.933,NA,NA,NA,NA,NA
48002,7.58357,7.50831,7.91335,0.942,NA,NA,NA,NA,NA,NA
48294,8.34802,7.18646,8.01655,0.813,NA,NA,NA,NA,NA,NA
48402,7.82752,4.51424,7.35447,0.824,NA,NA,NA,NA,NA,NA
48719,7.63726,4.48035,7.98107,0.871,NA,NA,NA,NA,NA,NA
48803,7.73276,7.13299,7.80862,NA,NA,0.868,NA,NA,NA,NA
49130,7.84023,7.93115,8.53248,0.861,NA,NA,NA,NA,NA,NA
49237,7.23151,7.86867,7.9255,NA,0.916,NA,NA,NA,NA,NA
49591,7.68309,6.9294,8.29172,0.779,NA,NA,NA,NA,NA,NA
49795,8.10954,7.2532,8.05452,NA,NA,NA,0.688,NA,NA,NA
49821,7.83402,7.42035,7.44492,0.964,NA,NA,NA,NA,NA,NA
50109,7.74014,8.04342,6.85765,0.815,NA,NA,NA,NA,NA,NA
50213,7.87228,7.39502,7.95637,NA,NA,0.783,NA,NA,NA,NA
50589,8.05255,8.04807,7.7044,NA,NA,NA,NA,0.808,NA,NA
50751,7.52098,7.86521,7.14504,NA,0.913,NA,NA,NA,NA,NA
50843,7.51009,7.64387,8.00502,NA,NA,NA,NA,0.878,NA,NA
51126,8.01162,7.132,7.79689,NA,0.895,NA,NA,NA,NA,NA
51264,8.30916,7.04838,7.79112,0.831,NA,NA,NA,NA,NA,NA
51574,7.35562,7.73058,7.45158,NA,NA,0.908,NA,NA,NA,NA
51649,7.25596,7.14677,7.56443,NA,NA,NA,NA,0.797,NA,NA
51872,7.49872,8.21768,8.27947,0.871,NA,NA,NA,NA,NA,NA
52146,7.19873,7.79727,7.85929,NA,0.937,NA,NA,NA,NA,NA
52221,7.33501,7.62053,8.04151,NA,0.926,NA,NA,NA,NA,NA
52561,8.1457,7.45202,7.66172,0.913,NA,NA,NA,NA,NA,NA
52666,8.04718,6.79562,7.80409,NA,0.778,NA,NA,NA,NA,NA
52804,7.72779,7.54328,7.90552,NA,0.94,NA,NA,NA,NA,NA
53080,7.13342,7.65319,8.13177,NA,0.884,NA,NA,NA,NA,NA
53268,7.74628,7.32907,7.33714,NA,0.897,NA,NA,NA,NA,NA
53505,7.78036,7.34631,7.41985,0.941,NA,NA,NA,NA,NA,NA
53738,7.75386,8.09782,7.7616,0.959,NA,NA,NA,NA,NA,NA
53847,7.42158,9.03402,7.73211,NA,0.703,NA,NA,NA,NA,NA
54149,7.68365,7.75856,7.77832,0.959,NA,NA,NA,NA,NA,NA
54312,7.48968,7.27129,7.49876,NA,NA,0.792,NA,NA,NA,NA
54442,8.14334,8.71603,7.90491,NA,0.763,NA,NA,NA,NA,NA
54699,7.65041,8.36524,8.34023,NA,NA,0.766,NA,NA,NA,NA
54829,8.20616,7.099,7.74619,0.844,NA,NA,NA,NA,NA,NA
55184,7.45515,8.07163,7.2284,NA,0.895,NA,NA,NA,NA,NA
55276,8.27884,7.7573,7.43762,0.898,NA,NA,NA,NA,NA,NA
55433,8.71755,7.80808,7.42497,NA,0.804,NA,NA,NA,NA,NA
55677,8.00572,7.17295,7.16823,NA,0.817,NA,NA,NA,NA,NA
55839,7.53768,7.07479,8.46608,NA,0.804,NA,NA,NA,NA,NA
56020,8.53056,6.86117,7.70968,NA,0.72,NA,NA,NA,NA,NA
56272,7.80413,7.6943,6.95617,0.86,NA,NA,NA,NA,NA,NA
56577,7.21006,7.39628,7.14403,NA,0.855,NA,NA,NA,NA,NA
56691,7.42625,7.41538,8.45175,0.866,NA,NA,NA,NA,NA,NA
56808,7.27992,7.72854,7.32773,0.914,NA,NA,NA,NA,NA,NA
57196,6.93457,7.95008,8.113,NA,NA,NA,NA,0.736,NA,NA
57329,7.85681,7.74465,7.36651,0.97,NA,NA,NA,NA,NA,NA
57437,7.1306,7.65859,7.65475,NA,NA,0.799,NA,NA,NA,NA
57635,8.6376,6.97002,8.13773,0.682,NA,NA,NA,NA,NA,NA
57863,7.77199,7.26333,8.18334,NA,0.89,NA,NA,NA,NA,NA
58110,6.81851,7.5174,7.87299,NA,NA,NA,NA,0.71,NA,NA
58372,6.99795,8.25225,7.49387,NA,NA,NA,NA,0.752,NA,NA
58531,7.16577,7.98776,7.79299,NA,NA,0.792,NA,NA,NA,NA
58711,7.2774,7.09663,8.25393,NA,0.77,NA,NA,NA,NA,NA
58906,7.76791,8.0296,7.48808,NA,0.947,NA,NA,NA,NA,NA
59019,7.86063,8.68846,7.59512,0.828,NA,NA,NA,NA,NA,NA
59206,7.69176,7.71565,7.21109,0.943,NA,NA,NA,NA,NA,NA
59474,8.43809,8.36622,7.70529,0.824,NA,NA,NA,NA,NA,NA
59749,8.2728,7.30215,7.54327,NA,0.871,NA,NA,NA,NA,NA
59977,7.12583,8.13473,7.68256,NA,0.874,NA,NA,NA,NA,NA
60004,7.96497,8.15159,6.88347,0.788,NA,NA,NA,NA,NA,NA
60202,7.26445,8.60139,7.96599,NA,NA,0.721,NA,NA,NA,NA
60428,7.53241,7.52168,7.8961,NA,NA,NA,NA,0.902,NA,NA
60730,7.50586,7.95017,7.85534,NA,NA,NA,NA,0.805,NA,NA
60954,7.20992,7.71902,8.22652,0.889,NA,NA,NA,NA,NA,NA
61043,7.10892,7.17529,7.5108,NA,NA,NA,NA,0.766,NA,NA
61246,7.92609,8.12546,7.86681,0.938,NA,NA,NA,NA,NA,NA
61540,8.28614,8.66618,7.52633,NA,NA,0.708,NA,NA,NA,NA
61725,7.51029,7.74998,7.91794,0.971,NA,NA,NA,NA,NA,NA
61987,7.41482,8.10231,7.51449,NA,0.938,NA,NA,NA,NA,NA
62188,8.75932,7.6729,7.79316,0.82,NA,NA,NA,NA,NA,NA
62276,8.18531,7.78546,7.59807,NA,0.951,NA,NA,NA,NA,NA
62478,8.03212,7.71386,8.29781,NA,0.911,NA,NA,NA,NA,NA
62611,8.35448,8.02323,7.98047,NA,NA,NA,NA,0.793,NA,NA
62980,7.92344,8.29038,7.18094,0.854,NA,NA,NA,NA,NA,NA
63161,7.22239,7.63743,8.56429,NA,0.791,NA,NA,NA,NA,NA
63240,7.11593,7.59334,7.28079,NA,0.881,NA,NA,NA,NA,NA
