id,x0,x1,x2,fitness8.5,fitness9,fitness7.5,fitness8,fitness7,fitness6.5,fitness9.5,fitness6,fitness10,fitness5,fitness5.5,fitness4,fitness3.5,fitness4.5
32561,7.93266,6.85969,6.19254,NA,NA,NA,0.432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32660,7.93558,6.91505,7.29391,NA,NA,NA,0.819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32807,8.23089,7.45497,6.9235,NA,NA,NA,NA,NA,0.594,NA,NA,NA,NA,NA,NA,NA,NA
33085,8.16475,7.58089,7.42867,NA,NA,NA,NA,0.818,NA,NA,NA,NA,NA,NA,NA,NA,NA
33232,9.59437,8.0199,6.84834,NA,NA,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33455,7.21392,9.35862,7.72997,0.542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33644,9.02779,8.15165,7.1768,NA,NA,0.628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33920,9.86719,7.9718,7.48634,0.446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34124,8.18175,9.09316,6.96088,NA,NA,NA,NA,NA,NA,0.193,NA,NA,NA,NA,NA,NA,NA
34211,7.15486,9.67802,7.44954,NA,NA,NA,NA,NA,NA,0.148,NA,NA,NA,NA,NA,NA,NA
34483,8.10991,7.97645,6.42985,NA,NA,NA,NA,NA,NA,0.305,NA,NA,NA,NA,NA,NA,NA
34693,8.04919,8.11129,8.2531,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34810,8.54818,7.00937,7.66649,NA,NA,NA,0.768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35010,7.79448,6.91665,6.23127,NA,NA,0.455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35341,7.48484,7.73568,7.20997,NA,NA,NA,NA,NA,0.621,NA,NA,NA,NA,NA,NA,NA,NA
35579,7.4803,6.82711,9.02821,NA,NA,NA,NA,0.504,NA,NA,NA,NA,NA,NA,NA,NA,NA
35665,7.8106,7.40949,7.54888,NA,NA,0.973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35817,6.88459,6.89889,6.64026,0.354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36029,7.79106,7.20925,6.31047,0.485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36202,8.37893,8.67274,7.46559,0.651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36554,8.18092,7.1964,6.59245,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36636,7.56514,8.54948,7.3673,NA,NA,0.839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36954,7.37262,8.37251,7.90499,NA,NA,NA,0.834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37171,8.37837,6.95241,8.19252,NA,NA,NA,NA,0.701,NA,NA,NA,NA,NA,NA,NA,NA,NA
37235,7.05373,7.23887,8.76742,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
37487,7.37399,7.46487,7.52784,NA,NA,0.944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37601,7.5124,6.75458,8.30359,NA,NA,NA,NA,0.648,NA,NA,NA,NA,NA,NA,NA,NA,NA
37984,7.67609,8.15514,8.9484,NA,NA,NA,NA,NA,0.377,NA,NA,NA,NA,NA,NA,NA,NA
38011,8.06067,7.85245,7.89885,NA,NA,NA,NA,0.805,NA,NA,NA,NA,NA,NA,NA,NA,NA
38386,8.28698,7.91998,8.02772,NA,NA,0.907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38527,7.95047,6.49369,8.56652,NA,NA,NA,0.528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38706,7.1122,6.89751,8.91521,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38910,6.51886,6.48359,8.39303,NA,NA,NA,NA,0.165,NA,NA,NA,NA,NA,NA,NA,NA,NA
39012,6.91058,7.11684,7.06396,NA,NA,NA,NA,0.644,NA,NA,NA,NA,NA,NA,NA,NA,NA
39244,8.26232,8.35371,8.87671,NA,NA,NA,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39457,7.53913,7.80016,8.99503,NA,NA,NA,NA,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
39711,7.46756,7.34904,8.59851,NA,NA,NA,NA,0.693,NA,NA,NA,NA,NA,NA,NA,NA,NA
39895,7.6017,7.36769,8.2034,NA,NA,NA,NA,NA,0.655,NA,NA,NA,NA,NA,NA,NA,NA
40070,8.64053,7.94821,7.99426,NA,NA,NA,NA,0.678,NA,NA,NA,NA,NA,NA,NA,NA,NA
40309,7.46589,8.14355,8.87814,NA,NA,NA,NA,NA,NA,NA,0.278,NA,NA,NA,NA,NA,NA
40561,8.19821,7.64577,8.87028,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.489,NA,NA,NA,NA
40756,7.19873,8.03976,7.73972,NA,NA,NA,NA,NA,NA,NA,0.464,NA,NA,NA,NA,NA,NA
40906,7.6465,8.229,8.5978,NA,NA,NA,NA,0.699,NA,NA,NA,NA,NA,NA,NA,NA,NA
41002,8.29176,8.14526,7.90749,NA,NA,NA,0.887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41274,7.56371,7.75266,6.65679,NA,NA,NA,NA,NA,NA,0.381,NA,NA,NA,NA,NA,NA,NA
41575,8.26357,9.07096,8.32492,0.497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41636,7.45892,8.94686,7.27493,0.614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41990,8.28352,7.02423,6.4669,NA,NA,NA,0.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
