id,x0,x1,x2,fitness7,fitness7.5,fitness8,fitness8.5,fitness9.5,fitness9,fitness6.5
37936,8.02264,7.83231,8.14603,0.869,NA,NA,NA,NA,NA,NA
38171,7.99699,7.34239,8.30037,NA,NA,0.88,NA,NA,NA,NA
38253,7.29583,7.28541,8.33697,NA,NA,NA,0.77,NA,NA,NA
38596,8.25409,7.64892,8.29005,NA,NA,NA,0.797,NA,NA,NA
38717,7.90737,7.60977,7.74447,NA,NA,NA,0.832,NA,NA,NA
38864,7.28177,7.62878,7.65243,NA,NA,0.954,NA,NA,NA,NA
39060,7.45671,8.03988,7.04254,NA,NA,NA,0.774,NA,NA,NA
39372,7.64952,7.30354,7.27725,NA,0.884,NA,NA,NA,NA,NA
39523,7.87275,8.20175,7.49917,0.765,NA,NA,NA,NA,NA,NA
39699,8.56475,8.02512,7.84641,NA,NA,0.825,NA,NA,NA,NA
39823,7.62155,7.24007,7.08057,NA,0.858,NA,NA,NA,NA,NA
40104,7.69529,7.1997,7.67273,NA,NA,NA,0.829,NA,NA,NA
40354,7.98867,8.13666,6.9214,0.751,NA,NA,NA,NA,NA,NA
40429,7.40018,8.38726,7.47444,NA,NA,NA,0.814,NA,NA,NA
40706,8.49449,7.84602,7.53393,NA,NA,0.825,NA,NA,NA,NA
40907,7.76562,7.04955,7.7025,NA,0.906,NA,NA,NA,NA,NA
41065,7.11568,7.50273,7.11208,NA,NA,0.839,NA,NA,NA,NA
41362,7.88411,7.53664,7.24982,NA,NA,0.929,NA,NA,NA,NA
41525,8.2282,7.34851,7.65022,NA,NA,0.878,NA,NA,NA,NA
41666,7.87694,6.77801,8.25507,NA,NA,0.747,NA,NA,NA,NA
41936,7.49747,7.60382,7.86825,0.843,NA,NA,NA,NA,NA,NA
42150,7.70097,8.05711,8.19072,NA,NA,0.914,NA,NA,NA,NA
42270,7.41476,8.08716,7.46277,NA,NA,0.921,NA,NA,NA,NA
42555,7.39217,8.52538,7.32101,NA,NA,NA,0.68,NA,NA,NA
42681,7.33914,7.14045,8.02425,NA,NA,0.859,NA,NA,NA,NA
42900,7.47186,8.14663,8.1107,NA,0.913,NA,NA,NA,NA,NA
43178,7.80516,8.14126,7.63732,NA,0.96,NA,NA,NA,NA,NA
43326,7.05573,8.42389,7.32032,NA,NA,0.772,NA,NA,NA,NA
43586,7.76255,7.57959,7.67641,NA,0.994,NA,NA,NA,NA,NA
43780,8.94626,8.16523,7.86619,NA,0.693,NA,NA,NA,NA,NA
43839,9.13691,7.4347,7.81537,0.612,NA,NA,NA,NA,NA,NA
44139,7.7681,7.78753,7.44598,NA,NA,NA,0.916,NA,NA,NA
44397,7.75517,7.85045,7.95112,NA,0.983,NA,NA,NA,NA,NA
44489,6.97818,7.49627,8.32746,NA,NA,0.796,NA,NA,NA,NA
44663,7.40199,7.48618,8.49698,NA,NA,0.858,NA,NA,NA,NA
44980,7.46893,7.76116,8.88856,NA,NA,0.741,NA,NA,NA,NA
45125,6.87425,7.61764,8.30464,NA,NA,0.777,NA,NA,NA,NA
45377,7.14805,7.87169,7.41069,NA,0.882,NA,NA,NA,NA,NA
