id,x0,x1,x2,fitness5,fitness4,fitness3.5,fitness4.5,fitness6,fitness7,fitness7.5,fitness10,fitness9,fitness10.5,fitness8.5,fitness8,fitness6.5,fitness9.5,fitness3,fitness2.5,fitness5.5,fitness2
18906,9.0921,5.89972,8.98101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.482,NA
19065,8.72992,7.25346,8.22509,NA,NA,NA,NA,0.318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19271,9.02079,8.44624,7.00627,0.124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19435,8.03906,10.479,7.21562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.131,NA,NA,NA,NA,NA
19641,8.36057,9.53579,7.19903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.151,NA,NA,NA,NA,NA
19949,7.69396,8.2143,9.1262,NA,NA,NA,NA,NA,NA,0.668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20153,7.30617,7.56958,9.24634,NA,NA,NA,NA,NA,NA,0.614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20244,7.3927,6.50721,8.97878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.438,NA,NA,NA,NA,NA,NA
20522,7.92528,7.46179,8.78964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.476,NA,NA,NA,NA,NA
20617,8.00679,7.99773,8.74654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.328,NA
20913,8.48498,9.00906,8.49048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,NA,NA,NA,NA,NA
21008,8.145,9.11742,7.43164,NA,NA,NA,NA,NA,0.617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21208,8.49657,9.6194,7.67344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.249,NA,NA,NA,NA,NA
21591,7.16304,9.46006,7.46328,NA,NA,NA,NA,NA,NA,0.555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21745,6.35525,8.81721,6.22792,NA,NA,NA,NA,-0.314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21868,6.72184,8.07896,6.13646,NA,NA,NA,NA,NA,0.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22150,8.5639,7.97447,7.97184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.762,NA,NA,NA,NA,NA,NA,NA
22391,10.2912,6.95232,8.40264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.062,NA,NA,NA,NA
22431,9.58587,7.64581,7.48974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.216,NA,NA,NA,NA
22719,9.64848,7.33247,7.61871,NA,NA,NA,NA,NA,NA,NA,NA,0.347,NA,NA,NA,NA,NA,NA,NA,NA,NA
