id,x0,x1,x2,fitness7,fitness7.5,fitness8,fitness8.5,fitness9,fitness6.5,fitness9.5,fitness6
58655,7.21528,7.70431,7.4581,NA,NA,0.902,NA,NA,NA,NA,NA
58930,7.16043,8.15233,6.86835,NA,NA,0.724,NA,NA,NA,NA,NA
59030,7.72704,7.40189,7.31138,NA,NA,NA,NA,NA,0.59,NA,NA
59280,8.03773,8.665,7.56055,NA,0.817,NA,NA,NA,NA,NA,NA
59466,7.89439,7.91764,7.62958,0.811,NA,NA,NA,NA,NA,NA,NA
59734,7.74943,7.30353,8.18663,NA,NA,0.889,NA,NA,NA,NA,NA
59853,8.19138,7.61766,8.17523,0.846,NA,NA,NA,NA,NA,NA,NA
60011,7.39571,8.19323,8.05255,0.803,NA,NA,NA,NA,NA,NA,NA
60310,6.9652,8.41476,8.01672,0.724,NA,NA,NA,NA,NA,NA,NA
60530,6.85632,8.00785,7.29108,NA,0.79,NA,NA,NA,NA,NA,NA
60668,8.15558,6.69899,7.96761,NA,0.705,NA,NA,NA,NA,NA,NA
60970,8.40186,7.20131,8.57498,NA,NA,NA,NA,NA,0.51,NA,NA
61013,8.07169,7.43714,6.88826,NA,NA,0.767,NA,NA,NA,NA,NA
61264,7.78642,7.58599,7.21461,NA,NA,NA,0.86,NA,NA,NA,NA
61482,7.63342,7.36909,7.45241,NA,NA,NA,0.861,NA,NA,NA,NA
61607,7.01886,7.44303,8.54089,NA,NA,NA,0.607,NA,NA,NA,NA
61867,7.91618,6.88416,7.35597,NA,NA,NA,NA,NA,NA,0.449,NA
62107,8.04455,8.32183,6.96339,NA,NA,NA,0.717,NA,NA,NA,NA
62332,7.35281,8.60217,7.46407,NA,NA,0.8,NA,NA,NA,NA,NA
62424,8.29905,9.11807,7.12614,NA,0.577,NA,NA,NA,NA,NA,NA
62716,8.04647,8.42774,6.60242,0.579,NA,NA,NA,NA,NA,NA,NA
62881,8.23695,8.92167,7.80491,NA,0.721,NA,NA,NA,NA,NA,NA
63124,8.15098,7.34519,7.35503,NA,NA,NA,0.774,NA,NA,NA,NA
63252,8.35979,7.78475,7.63022,NA,NA,NA,0.809,NA,NA,NA,NA
63496,7.19683,7.34289,8.0464,0.847,NA,NA,NA,NA,NA,NA,NA
63614,7.64533,7.52665,7.95755,NA,NA,0.963,NA,NA,NA,NA,NA
63987,7.70861,7.28122,7.34262,NA,NA,0.897,NA,NA,NA,NA,NA
