id,x0,x1,x2,fitness5.5,fitness7,fitness8.5,fitness8,fitness9.5,fitness10,fitness7.5,fitness6.5,fitness9,fitness6,fitness4.5,fitness4,fitness5,fitness3.5,fitness10.5
30475,7.96264,8.39511,8.26113,NA,NA,NA,NA,NA,NA,0.839,NA,NA,NA,NA,NA,NA,NA,NA
30602,8.02156,6.50347,8.42119,NA,0.477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30906,7.32467,7.95946,7.88358,NA,NA,NA,NA,NA,NA,0.938,NA,NA,NA,NA,NA,NA,NA,NA
31008,7.19576,6.9673,7.31406,NA,NA,0.629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31252,7.34252,7.06271,7.86886,NA,NA,NA,NA,NA,NA,NA,NA,0.571,NA,NA,NA,NA,NA,NA
31474,7.50737,7.2624,8.54052,NA,NA,NA,NA,NA,NA,NA,NA,0.525,NA,NA,NA,NA,NA,NA
31709,7.85046,8.27944,6.63881,NA,NA,NA,NA,NA,NA,0.685,NA,NA,NA,NA,NA,NA,NA,NA
31933,8.16772,7.5125,6.90339,NA,NA,NA,NA,NA,NA,0.788,NA,NA,NA,NA,NA,NA,NA,NA
32030,9.19198,8.44298,7.70927,NA,NA,NA,NA,NA,NA,NA,0.352,NA,NA,NA,NA,NA,NA,NA
32333,8.31017,8.77254,8.50273,NA,NA,0.569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32442,7.92334,7.9227,9.07779,NA,0.587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32743,6.93758,8.26701,7.36074,NA,NA,NA,0.751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32907,7.82757,6.76818,6.13044,NA,0.338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33188,7.10339,7.95591,6.38498,NA,NA,NA,0.582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33251,6.32209,7.84614,7.35094,NA,0.517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33428,6.89278,7.85912,7.83596,NA,NA,NA,NA,NA,NA,NA,0.515,NA,NA,NA,NA,NA,NA,NA
33715,7.60237,6.78739,7.42559,NA,0.726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33881,8.36278,6.59512,7.21947,NA,NA,NA,NA,NA,NA,NA,0.28,NA,NA,NA,NA,NA,NA,NA
34101,7.56277,6.5921,8.61558,NA,0.428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34218,7.63608,8.16443,7.61466,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.518,NA,NA,NA,NA,NA
34477,6.98875,7.14864,7.74266,NA,NA,NA,NA,NA,NA,0.783,NA,NA,NA,NA,NA,NA,NA,NA
34711,9.48799,7.77045,7.36414,NA,NA,NA,NA,NA,NA,0.58,NA,NA,NA,NA,NA,NA,NA,NA
34966,8.73067,7.51591,7.34526,NA,NA,NA,NA,NA,NA,NA,0.513,NA,NA,NA,NA,NA,NA,NA
35005,8.58781,7.26204,7.18353,NA,NA,NA,NA,NA,NA,0.723,NA,NA,NA,NA,NA,NA,NA,NA
