id,x0,x1,x2,fitness-2.5,fitness-3,fitness-2,fitness-3.5,fitness-1.5,fitness-4,fitness-1
28918,1.37756,2.45748,-4.98647,NA,NA,-36.937,NA,NA,NA,NA
29110,2.1925,1.1572,-5,-27.42,NA,NA,NA,NA,NA,NA
29317,0.942326,1.83094,-5,NA,-43.525,NA,NA,NA,NA,NA
29527,0.658978,2.24902,-5,NA,-52.964,NA,NA,NA,NA,NA
29791,1.19022,1.85107,-4.90216,-21.944,NA,NA,NA,NA,NA,NA
29974,2.1623,1.8972,-4.06697,NA,NA,NA,-23.791,NA,NA,NA
30018,2.5835,1.94637,-3.9394,NA,-26.47,NA,NA,NA,NA,NA
30333,1.65567,0.848244,-3.88658,NA,NA,NA,-62.253,NA,NA,NA
30513,1.21735,1.21499,-5,-34.881,NA,NA,NA,NA,NA,NA
30694,1.76577,2.1253,-5,-19.609,NA,NA,NA,NA,NA,NA
30878,1.89975,1.56722,-4.87929,NA,-15.813,NA,NA,NA,NA,NA
31086,1.73678,2.04196,-5,-17.468,NA,NA,NA,NA,NA,NA
31296,2.23877,1.46385,-4.24797,NA,-15.542,NA,NA,NA,NA,NA
31596,2.66228,2.0463,-3.4526,NA,NA,-47.88,NA,NA,NA,NA
31765,1.25337,2.08463,-4.14769,NA,NA,-17.005,NA,NA,NA,NA
31935,2.01145,2.58966,-4.17343,-24.768,NA,NA,NA,NA,NA,NA
32183,1.93755,1.37689,-4.93105,NA,NA,-17.944,NA,NA,NA,NA
32381,1.25279,1.62871,-4.8,-15.908,NA,NA,NA,NA,NA,NA
32600,2.83093,2.0666,-5,-41.861,NA,NA,NA,NA,NA,NA
32791,1.91264,1.25271,-4.6402,-9.461,NA,NA,NA,NA,NA,NA
32809,1.77923,1.94001,-4.22702,NA,NA,NA,NA,-28.783,NA,NA
33084,1.62088,1.64316,-5,NA,NA,NA,NA,-32.713,NA,NA
33372,2.1215,2.58671,-4.81673,NA,NA,NA,NA,-44.273,NA,NA
33491,1.07973,2.23482,-4.59578,NA,NA,-29.994,NA,NA,NA,NA
33638,1.23469,1.67542,-4.64149,NA,NA,-15.36,NA,NA,NA,NA
33830,1.71361,1.94319,-4.62959,NA,-9.98,NA,NA,NA,NA,NA
34043,0.853148,1.44287,-4.08427,NA,-39.11,NA,NA,NA,NA,NA
34327,1.254,1.356,-4.46145,NA,NA,NA,-41.1,NA,NA,NA
34431,1.47039,2.40185,-4.09972,-20.357,NA,NA,NA,NA,NA,NA
34726,2.16494,1.72968,-4.69604,NA,-13.831,NA,NA,NA,NA,NA
34813,1.81415,1.06071,-5,-29.926,NA,NA,NA,NA,NA,NA
35120,2.15056,1.20423,-4.8071,NA,NA,-27.115,NA,NA,NA,NA
35282,1.88857,1.40689,-4.10697,NA,NA,-11.688,NA,NA,NA,NA
35485,1.75066,1.99518,-5,-17.023,NA,NA,NA,NA,NA,NA
35722,2.2189,1.83262,-4.61579,-9.98,NA,NA,NA,NA,NA,NA
35878,1.37084,2.25431,-4.48764,NA,NA,-20.827,NA,NA,NA,NA
36092,1.43009,1.44675,-4.329,-5.651,NA,NA,NA,NA,NA,NA
36267,1.80495,1.08695,-4.82468,NA,NA,-26.717,NA,NA,NA,NA
36455,2.0955,1.73311,-4.53294,-5.732,NA,NA,NA,NA,NA,NA
36799,1.13519,1.51629,-4.20673,-17.848,NA,NA,NA,NA,NA,NA
36986,1.49141,2.16677,-4.65841,NA,-16.412,NA,NA,NA,NA,NA
37026,1.94263,1.4852,-5,-16.412,NA,NA,NA,NA,NA,NA
37328,1.6789,1.46745,-5,NA,NA,NA,-44.06,NA,NA,NA
37458,1.27374,1.36399,-4.57051,-14.743,NA,NA,NA,NA,NA,NA
37786,1.77833,1.03739,-5,NA,-43.462,NA,NA,NA,NA,NA
37902,1.33452,1.42327,-5,NA,-32.352,NA,NA,NA,NA,NA
38157,1.81155,1.33363,-4.95454,NA,-24.31,NA,NA,NA,NA,NA
38304,2.37107,2.10628,-5,-26.068,NA,NA,NA,NA,NA,NA
38583,1.60443,2.8244,-5,NA,-44.794,NA,NA,NA,NA,NA
38631,1.97098,1.61392,-5,NA,NA,-23.975,NA,NA,NA,NA
38865,1.60891,2.01624,-5,NA,NA,-19.321,NA,NA,NA,NA
