id,x0,x1,x2,fitness-2,fitness-1.5,fitness-2.5,fitness-3,fitness-3.5
46656,2.11095,1.46429,-4.96185,-24.154,NA,NA,NA,NA
46870,2.19725,2.03733,-4.54753,-16.712,NA,NA,NA,NA
47193,1.55697,0.796633,-4.48826,NA,NA,-39.44,NA,NA
47213,1.01398,1.43948,-4.56847,NA,NA,-24.65,NA,NA
47529,1.57598,1.43646,-3.5142,NA,NA,-25.628,NA,NA
47769,2.40107,2.09611,-4.22137,-23.394,NA,NA,NA,NA
47882,2.53483,1.58367,-4.37182,NA,NA,NA,-19.266,NA
48111,2.33425,1.96921,-4.25909,NA,NA,NA,-22.721,NA
48291,1.39221,2.23228,-4.0454,NA,NA,-16.369,NA,NA
48550,1.4343,1.29441,-4.53556,NA,NA,-11.655,NA,NA
48672,1.82088,1.61843,-4.93793,NA,NA,NA,-14.031,NA
48837,2.01516,2.28402,-4.83876,-23.543,NA,NA,NA,NA
49149,1.388,2.0546,-4.68945,NA,NA,-13.581,NA,NA
49387,1.43915,1.79723,-3.83123,NA,NA,-13.719,NA,NA
49562,1.63188,2.14044,-4.4127,-20.085,NA,NA,NA,NA
49648,1.99719,1.53605,-3.91974,-13.357,NA,NA,NA,NA
49905,1.97647,1.52885,-4.15849,NA,-25.293,NA,NA,NA
50191,2.12783,1.83648,-4.7585,NA,NA,-11.981,NA,NA
50376,1.08183,1.69064,-4.5609,-24.325,NA,NA,NA,NA
50450,1.21774,2.12985,-4.13245,-23.678,NA,NA,NA,NA
50674,1.40215,2.9087,-4.99035,NA,NA,-49.079,NA,NA
50878,2.48552,2.27173,-4.86056,NA,NA,NA,-32.84,NA
51067,2.2902,1.20972,-4.70564,NA,NA,NA,-21.595,NA
51283,1.81902,1.33654,-4.48387,NA,NA,-6.112,NA,NA
51597,0.88401,1.69857,-4.62067,NA,NA,NA,-38.724,NA
51703,1.31703,1.983,-4.16556,NA,NA,NA,-20.422,NA
51943,1.50137,1.69722,-4.27369,NA,NA,NA,-8.475,NA
52094,1.32959,2.08597,-4.73345,NA,NA,-16.477,NA,NA
