id,x0,x1,x2,fitness8.5,fitness8,fitness7.5,fitness7,fitness9,fitness6.5,fitness9.5
37564,8.00276,8.52018,7.5476,NA,NA,0.842,NA,NA,NA,NA
37700,7.59291,7.38617,7.6775,NA,0.95,NA,NA,NA,NA,NA
37921,8.064,8.16982,7.78262,0.802,NA,NA,NA,NA,NA,NA
38012,7.37629,7.8041,8.01305,NA,0.929,NA,NA,NA,NA,NA
38252,7.81949,8.30535,8.57701,NA,NA,0.799,NA,NA,NA,NA
38530,7.68603,7.97888,7.82239,NA,NA,0.978,NA,NA,NA,NA
38800,7.37926,7.91522,7.11378,NA,NA,0.891,NA,NA,NA,NA
38855,7.41442,7.70266,7.59252,0.888,NA,NA,NA,NA,NA,NA
39195,7.80278,7.90918,7.91154,NA,NA,0.942,NA,NA,NA,NA
39234,7.79538,8.71252,7.81908,NA,0.793,NA,NA,NA,NA,NA
39417,7.73578,9.0166,7.20543,NA,NA,NA,0.628,NA,NA,NA
39693,7.52563,8.03713,7.34977,NA,NA,0.912,NA,NA,NA,NA
39806,6.93519,8.36552,7.46476,NA,NA,NA,0.623,NA,NA,NA
40045,8.08388,7.79664,6.74448,NA,NA,0.779,NA,NA,NA,NA
40336,7.68444,7.45307,6.97561,NA,NA,0.839,NA,NA,NA,NA
40543,7.87724,7.29258,6.99827,NA,NA,0.83,NA,NA,NA,NA
40687,8.62708,8.32446,7.27175,NA,0.744,NA,NA,NA,NA,NA
40967,6.85336,7.57013,7.49873,0.688,NA,NA,NA,NA,NA,NA
41126,7.91843,7.54989,7.49836,0.909,NA,NA,NA,NA,NA,NA
41250,8.19464,8.30083,8.17078,NA,0.798,NA,NA,NA,NA,NA
41543,7.73259,8.36794,7.69775,NA,0.891,NA,NA,NA,NA,NA
41729,7.15698,8.17386,7.30894,NA,NA,0.822,NA,NA,NA,NA
41904,7.99109,7.08457,7.38863,0.813,NA,NA,NA,NA,NA,NA
42194,7.6985,7.4808,7.69859,NA,0.967,NA,NA,NA,NA,NA
42254,7.28936,7.66751,8.76627,NA,0.742,NA,NA,NA,NA,NA
42588,7.28754,8.1054,8.47524,0.769,NA,NA,NA,NA,NA,NA
42644,7.40573,7.74185,8.02432,NA,NA,0.96,NA,NA,NA,NA
42865,7.9303,7.18788,7.55764,NA,0.919,NA,NA,NA,NA,NA
43055,7.27765,7.60911,7.2735,NA,NA,NA,0.796,NA,NA,NA
43394,8.61664,7.47855,7.80019,NA,0.799,NA,NA,NA,NA,NA
43538,7.77644,8.10915,7.79412,NA,NA,NA,0.883,NA,NA,NA
43794,7.49243,7.40911,7.84273,NA,NA,0.967,NA,NA,NA,NA
43985,8.28927,6.88418,7.40862,NA,NA,0.772,NA,NA,NA,NA
44119,7.3149,7.65525,8.06105,NA,NA,0.915,NA,NA,NA,NA
44242,6.85107,7.50058,7.26892,NA,NA,0.786,NA,NA,NA,NA
44559,7.53296,7.50495,7.83437,NA,0.964,NA,NA,NA,NA,NA
44795,6.91877,7.19135,8.35809,NA,NA,0.733,NA,NA,NA,NA
44962,6.99636,7.31731,7.36865,NA,NA,0.827,NA,NA,NA,NA
45170,8.08929,7.2042,8.43486,NA,NA,0.821,NA,NA,NA,NA
